"","Supplier.Name","tot"
"667","jet aviation (asia pacific) pte",10
"668","jetbrains sro",6
"669","jfk school of govt exec",20
"670","jive software",11
"671","jlt aerospace",17
"672","johanson vanessa",8
"673","john weaver",5
"674","john wiley & sons",14
"675","john winter consultancy",12
"676","joint strike fighter-official austr",8
"677","jpo project pammandi cbass embassay",44
"678","jstor",10
"679","justicetrax",9
"680","kaman aerospace intl",48
"681","kane paramount sdn bhd",13
"682","kane paramount sdn bhd (trust)",6
"683","karolina kalanj",8
"684","keibunsha",5
"685","kellstrom defense aerospace",13
"686","kellydavid swete",17
"687","kenn borek air",12
"688","kensington software management",10
"689","ketua akauntan kementah malaysia",5
"690","ketua akauntan kemmenterian pertaha",8
"691","ketua akauntan pertahanan",12
"692","khsb marketing sdn bhd",7
"693","kidd stephen",28
"694","kinemetrics",17
"695","king nutronics",5
"696","kings college london",8
"697","kiribati oil",6
"698","klinge corporation dba reefer parts",38
"699","knight's armament",5
"700","knights armament",79
"701","kok yoon soong",5
"702","kongsberg maritime as - simulation",5
"703","kongsberg maritime as former kongsb",7
"704","kongsberg protech as",9
"705","kongsberg protech systems",32
"706","kovacs enterprise",5
"707","kulite semiconductor products",11
"708","kva consult",6
"709","kwa performance industries",8
"710","kwong soon engineering company priv",5
"711","l-3 communications",6
"712","l-3 communications corporation",36
"713","l-3 communications corporation div",14
"714","l-3 communications cyterra corporat",6
"715","l-3 communications maripro",8
"716","l-3 communications mas (canada)",171
"717","l-3 communications mas (canada)-aud",49
"718","l-3 communications microdyne",12
"719","l-3 communications security and det",5
"720","l-3 services c2s2 division",11
"721","l-3 services dba linkabit div",6
"722","l-3 services div pulse science",8
"723","l-3 trl technology",25
"724","labcyte",5
"725","lally michael robert",6
"726","laqeretabua anna silika",5
"727","larsen & brusgaard aps",6
"728","laser products",28
"729","lcf systems",197
"730","leica geosystems",5
"731","lenco industries",5
"732","lendlease building",5
"733","leonardo mw",24
"734","leonardo spa aircraft division",58
"735","lgc standards",8
"736","liew kim lan",6
"737","life support international",14
"738","limo lissotschenko mikrooptik",8
"739","lincad",11
"740","lindquist consulting",15
"741","linkedin ireland",9
"742","linkedin singapore pte",9
"743","lithium technologies",6
"744","livermore software technology corpo",17
"745","liverpool hospital",11
"746","lj hooker (port moresby)",6
"747","lms international nv",22
"748","lo-rez vibration control",5
"749","lockheed martin",342
"750","lockheed martinaeronautical system",5
"751","lockheed martinaust p/l-aud",5
"752","lockheed martincorp dba lockheed m",15
"753","lockheed martincorp!naval electron",5
"754","lockheed martincorporation",5
"755","lockheed martinsippican",5
"756","lockheed-martin",6
"757","lumension security sa",5
"758","lyndacom",11
"759","m3 engineering & technology corpora",10
"760","macarthur radiation oncology dept",7
"761","maccor",10
"762","macdonald dettwiler and associates",13
"763","macdonald dettwiler and associates mda",6
"764","mactaggart scott",6
"765","madang resort hotel",7
"766","magnetic ticket & label",5
"767","mainami kuko services",10
"768","malcolm k sparrow",8
"769","manila peninsula hotel",6
"770","marin",26
"771","maritime surveillance",5
"772","maritime surveillance adviser msa o",7
"773","maritime surveillance adviser palau",15
"774","maritime surveillance advisor",20
"775","mark dosseter",5
"776","martec",19
"777","martin baker aircraft",309
"778","martine van de velde",5
"779","marvin engineering",20
"780","marvin engineering dba ma",31
"781","marvin engineering dba mar",7
"782","mary m mccoy",5
"783","mass communications",5
"784","mast technology",7
"785","mater misericordiae public hospital",11
"786","matra bae dynamics uk",19
"787","mbda missile systems",80
"788","mbda uk",29
"789","mca industries",6
"790","mcnally industries",7
"791","mda geospatial services",6
"792","mda systems",153
"793","mechdyne",18
"794","medicom",5
"795","medtherm",6
"796","meggitt avionics",9
"797","meggitt defense systems",11
"798","meggitt training systems canada",21
"799","mel aviation",10
"800","melhuish charles m",15
"801","mergent",7
"802","meridian medical technologies",22
"803","metacomp technologies",9
"804","metadata technology north america",6
"805","metals economics group",5
"806","metavr",11
"807","meteorological service of nz",5
"808","metocean",7
"809","metocean data systems",10
"810","mhd-rockland",28
"811","mick foster economics",6
"812","micro-g lacoste",7
"813","microhard systems",5
"814","microwave engineering corporation d",6
"815","mid facility management",5
"816","miehlbradt consulting",10
"817","mileq technologies pte",13
"818","military aviation spares",24
"819","milli savunma bakanligi (mod)",16
"820","millitech",6
"821","milspec services",10
"822","ming feng packaging",48
"823","ming feng packaging manufactur",24
"824","ming feng packaging manufacturer",9
"825","ministry of defence",20
"826","ministry of defence - netherlands",5
"827","ministry of defence dstl",13
"828","ministry of defence t/a defence",6
"829","ministry of defence t/a defence bus",61
"830","ministry of defence-defence procure",32
"831","mitsubishi heavy industries",5
"832","mmic eod",8
"833","mod public sub account hmg 1086",149
"834","monterey technologies",9
"835","monz",27
"836","moog australia",7
"837","mooney john william spencer",6
"838","morgan peter john",8
"839","mott macdonald",12
"840","motulu nai",6
"841","mr paul rizzo",10
"842","msa contingent account",16
"843","msa contingent account msa-marshall",18
"844","msc software (s) pte",7
"845","msl travel dn bhd",15
"846","msl travel-pen-moto",17
"847","mtu detroit diesel australia  - eur",6
"848","mulesoft",5
"849","multi-pack",18
"850","munition safety information analysi",11
"851","munze osterreich",15
"852","myip",10
"853","nahema",16
"854","nahum construction and renovation",6
"855","nammo lapua oy",10
"856","nammo raufoss a/s",27
"857","namsa",19
"858","nanometrics",7
"859","nape expo lp",5
"860","national economic research associates",11
"861","national forensic science technolog",15
"862","national institute of water and atmospheric research",6
"863","national superannuation fund",7
"864","national test pilot school",20
"865","national university of singapore",6
"866","nato bices agency (nba)",9
"867","nato seasparrow surface",6
"868","nato seasparrow surface missile",9
"869","nato seasparrow surface missile sys",99
"870","nature publishing group",24
"871","naval sea systems command",14
"872","navantia sa",29
"873","ncoic",7
"874","new lenox machine",8
"875","new zealand defence force",7
"876","new zealand police",8
"877","newcastle mater hospital",12
"878","newsbank",5
"879","nexter munitions",10
"880","nimmo-bell & company",5
"881","niue meteorological service",5
"882","niwa instrument systems",5
"883","niwa vessel management",9
"884","nj froment",7
"885","norcatec llc dba norcatec",8
"886","nordic camp supply",137
"887","nordic camp supply aps",31
"888","nordic defence industries a/s",22
"889","nordmetall",18
"890","norfolk forwarding services",5
"891","norfolk island real estate",8
"892","north american manufacturing compan",7
"893","north american rescue products",5
"894","northrop grumman",222
"895","northrop grumman international",5
"896","northrop grumman space & mission sy",19
"897","northrop grumman systems corporatio",49
"898","noske-kaeser nz",126
"899","nous group the",5
"900","nsaf",10
"901","nuance communications int bvba",28
"902","nufern",15
"903","nufern dba nufern",41
"904","nufern!dba nufern",6
"905","nyfix global services",7
"906","oag aviation worldwide pte",6
"907","oag worldwide",5
"908","oasis-lmc",6
"909","object management group",10
"910","oceania customs organisation",5
"911","odense maritime technology a/s",13
"912","oecd",55
"913","office of the bursar working fund",10
"914","oil states industries dba spec",8
"915","open geospatial consortium",23
"916","opnet technologies",17
"917","ops-core",15
"918","opswat",7
"919","optimax systems",7
"920","ordnance technology service",13
"921","organisation internationale de metrologie legale",5
"922","oshkosh defense",32
"923","overdrive",6
"924","overseas development group",8
"925","overseas development institute",36
"926","ovid technologies",9
"927","owlstone",5
"928","oxford analytica",14
"929","oxford policy management",15
"930","oxford said business school",6
"931","oxford university press",5
"932","pacific aerospace consulting",17
